Subfam Name	Subfam Composition	Subfam EC	Substrate	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	cay	474	7.048033346240132e-235	2	459	4	462	0.9934924078091106	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	cbv	466	1.3936821564273179e-246	2	461	3	463	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	cfb	475	3.0314196197011333e-236	2	460	5	464	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	cmit	466	1.1399574820683332e-232	1	461	2	464	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	cpab	473	1.652033007631094e-230	1	460	3	468	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	cpab_1	475	1.3967177089822407e-236	2	460	10	473	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	cpab_2	476	6.0309092348021024e-235	1	460	10	474	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	crw	475	1.5093444827981458e-235	2	460	5	464	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	csb	475	1.1488561375935991e-230	1	461	3	465	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	cstc	443	7.122255777726445e-197	33	460	9	439	0.928416485900217	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	cvd	467	1.008002366604105e-246	1	461	3	464	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	dpm	474	3.708668987725967e-240	1	460	3	463	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	dst	474	1.4893005186417716e-238	1	460	3	463	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	eat	474	2.3211776627155188e-223	1	460	3	464	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	eav	466	7.942903661749513e-240	1	461	3	463	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	ebm	467	2.0771906931428682e-234	1	460	2	462	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	ecas	466	6.790207834977278e-241	1	461	3	463	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	ecec	468	7.785869087852624e-247	2	460	5	464	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	ede	466	1.7878354826815782e-234	1	461	3	463	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	eds	467	2.9255180591382907e-227	2	460	4	463	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	eds_1	466	1.2661231455944475e-235	2	461	4	463	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	edu	468	1.5674250972424275e-246	2	460	5	464	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	eet	477	3.320075711574111e-213	2	461	6	470	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	efau	466	3.6203803722207886e-241	1	461	3	463	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	efau_1	468	1.5674250972424275e-246	2	460	5	464	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	efc	466	3.6203803722207886e-241	1	461	3	463	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	efd	468	1.5674250972424275e-246	2	460	5	464	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	efl	468	1.5674250972424275e-246	2	460	5	464	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	efm	468	1.5674250972424275e-246	2	460	5	464	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	efm_1	466	3.6203803722207886e-241	1	461	3	463	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	efn	468	1.5674250972424275e-246	2	460	5	464	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	efs	468	1.5674250972424275e-246	2	460	5	464	0.9956616052060736	dbCAN-sub
